0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.002,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.004,-1.67999558814573,-1.4018001932482,-1.81269995664491,-2.99369958003527,-0.885695600543403,-0.0696004268235952,1
0.006,-1.67998676406422,-1.40180057898544,-1.81269986472226,-2.99369874605465,-0.885686801258277,-0.0696012805068693,1
0.008,-1.67997352701946,-1.40180115569292,-1.81269971380716,-2.99369750995672,-0.885673601410678,-0.0696025611210277,1
0.01,-1.6799558759332,-1.40180192109135,-1.81269948826264,-2.99369588959177,-0.885655999925409,-0.0696042687703832,1
0.012,-1.67993380941679,-1.40180287213956,-1.81269916724008,-2.99369390876457,-0.885633995417697,-0.0696064035892827,1
0.014,-1.67990732581384,-1.4018040050327,-1.81269872468009,-2.99369159723798,-0.88560758623582,-0.069608965737972,1
0.016,-1.679876423254,-1.40180531519999,-1.81269812931391,-2.99368899073701,-0.885576770514673,-0.0696119553973985,1
0.018,-1.67984109971762,-1.40180679730216,-1.81269734466556,-2.99368613095333,-0.885541546240295,-0.0696153727629514,1
0.02,-1.6798013531115,-1.40180844522845,-1.81269632905494,-2.99368306554962,-0.885501911325358,-0.0696192180371378,1
0.022,-1.67975718135554,-1.40181025209337,-1.81269503560238,-2.99367984816373,-0.88545786369562,-0.0696234914211951,1
0.024,-1.6797085824805,-1.40181221023318,-1.81269341223476,-2.99367653841196,-0.88540940138735,-0.0696281931056392,1
0.026,-1.6796555547366,-1.40181431120222,-1.81269140169371,-2.99367320189124,-0.885356522655711,-0.0696333232597497,1
0.028,-1.67959809671325,-1.40181654576908,-1.81268894154637,-2.99366991017949,-0.885299226094069,-0.0696388820199942,1
0.03,-1.67953620746961,-1.4018189039127,-1.81268596419911,-2.99366674083379,-0.885237510764216,-0.0696448694773955,1
0.032,-1.67946988667601,-1.4018213748186,-1.81268239691474,-2.99366377738564,-0.885171376337424,-0.0696512856638457,1
0.034,-1.67939913476626,-1.4018239468751,-1.8126781618339,-2.99366110933265,-0.885100823246279,-0.0696581305373765,1
0.036,-1.67932395310058,-1.40182660766985,-1.81267317600103,-2.99365883212598,-0.885025852847177,-0.0696654039663941,1
0.038,-1.67924434413912,-1.40182934398664,-1.81266735139574,-2.99365704715281,-0.884946467593349,-0.0696731057128923,1
0.04,-1.67916031162586,-1.40183214180266,-1.81266059497024,-2.99365586171296,-0.884862671218258,-0.0696812354146606,1
0.042,-1.6790718607827,-1.40183498628623,-1.81265280869341,-2.99365538898888,-0.884774468929137,-0.069689792566507,1
0.044,-1.67897899851349,-1.40183786179531,-1.81264388960241,-2.99365574800806,-0.884681867610433,-0.0696987765005209,1
0.046,-1.67888173361764,-1.40184075187671,-1.81263372986255,-2.99365706359704,-0.884584876036829,-0.0697081863654056,1
0.048,-1.67878007701301,-1.40184363926625,-1.81262221683618,-2.99365946632599,-0.884483505095501,-0.0697180211049163,1
0.05,-1.6786740419676,-1.40184650589003,-1.81260923316146,-2.99366309244285,-0.884377768017164,-0.0697282794354444,1
0.052,-1.67856364433958,-1.40184933286684,-1.81259465684179,-2.99366808379618,-0.884267680615424,-0.0697389598227955,1
0.054,-1.67844890282507,-1.40185210051203,-1.81257836134677,-2.99367458774552,-0.884153261533873,-0.069750060458218,1
0.056,-1.67832983921306,-1.40185478834278,-1.81256021572552,-2.99368275705839,-0.88403453250027,-0.0697615792337424,1
0.058,-1.6782064786467,-1.40185737508515,-1.81254008473314,-2.99369274979276,-0.8839115185871,-0.0697735137169027,1
0.06,-1.67807884989014,-1.40185983868289,-1.81251782897112,-2.99370472916417,-0.883784248477685,-0.0697858611249193,1
0.062,-1.67794698560006,-1.40186215630824,-1.81249330504261,-2.99371886339633,-0.883652754736951,-0.0697986182984296,1
0.064,-1.67781092260091,-1.40186430437493,-1.81246636572299,-2.99373532555434,-0.883517074085863,-0.069811781674863,1
0.066,-1.67767070216268,-1.40186625855337,-1.81243686014682,-2.99375429335957,-0.88337724767843,-0.0698253472615667,1
0.068,-1.67752637028007,-1.40186799378837,-1.81240463401149,-2.99377594898536,-0.883233321380112,-0.0698393106087959,1
0.07,-1.67737797795181,-1.40186948431942,-1.81236952979832,-2.99380047883282,-0.883085346046327,-0.0698536667826928,1
0.072,-1.6772255814587,-1.40187070370366,-1.81233138701152,-2.99382807328581,-0.882933377799716,-0.0698684103383878,1
0.074,-1.67707303282895,-1.40187680863239,-1.81228587997785,-2.99385738750276,-0.882781277558545,-0.0698838463854277,1
0.076,-1.67691323861107,-1.40187799056292,-1.8122406977479,-2.99389152177694,-0.882621934591006,-0.0698993818040974,1
0.078,-1.67674967545751,-1.40187886590373,-1.81219194222889,-2.99392929856929,-0.882458833453721,-0.0699152878608316,1
0.08,-1.67658242466484,-1.40187940812928,-1.81213944193079,-2.99397092059239,-0.88229205522217,-0.0699315569440981,1
0.082,-1.67641157407968,-1.40187959021973,-1.81208302384258,-2.9940165929811,-0.882121687503332,-0.0699481808032367,1
0.084,-1.67623721832678,-1.40187938469848,-1.8120225137863,-2.99406652291667,-0.88194782466308,-0.0699651505248784,1
0.086,-1.67605945902377,-1.40187876367278,-1.81195773678924,-2.99412091922882,-0.881770568040237,-0.0699824565105819,1
0.088,-1.67587840498059,-1.40187769887747,-1.81188851747372,-2.99417999197629,-0.881590026145452,-0.0700000884558703,1
0.09,-1.67569417238195,-1.40187616172169,-1.81181468046363,-2.99424395200662,-0.881406314843055,-0.070018035330851,1
0.092,-1.67550688495084,-1.40187412333878,-1.81173605080688,-2.99431301049585,-0.881219557514099,-0.0700362853626024,1
0.094,-1.67531667409147,-1.401871554639,-1.8116524544125,-2.99438737846944,-0.881029885198799,-0.070054826019506,1
0.096,-1.67512367900977,-1.40186842636521,-1.81156371850113,-2.9944672663056,-0.880837436716652,-0.070073643997701,1
0.098,-1.67492804680989,-1.40186470915122,-1.81146967206735,-2.99455288322257,-0.880642358762626,-0.0700927252098274,1
0.1,-1.67472993256517,-1.4018603735828,-1.81137014635223,-2.99464443675159,-0.880444805977872,-0.0701120547762199,1
0.102,-1.67452949936218,-1.40185539026103,-1.81126497532412,-2.9947421321976,-0.880244940993567,-0.0701316170186994,1
0.104,-1.67432691831653,-1.40184972986791,-1.81115399616582,-2.99484617208957,-0.880042934446631,-0.0701513954570973,1
0.106,-1.67412236855939,-1.40184336323386,-1.81103704976575,-2.9949567556231,-0.879838964966234,-0.0701713728086327,1
0.108,-1.67391603719384,-1.40183626140699,-1.81091398121107,-2.99507407809748,-0.879633219130209,-0.0701915309902447,1
0.11,-1.67370811922031,-1.40182839572369,-1.81078464028018,-2.99519833035002,-0.879425891390647,-0.0702118511239629,1
0.112,-1.6734988174307,-1.40181973788038,-1.81064888193214,-2.99532969819037,-0.879217183968257,-0.070232313545377,1
0.114,-1.67328834227085,-1.40181026000606,-1.81050656679053,-2.99546836183759,-0.879007306715204,-0.0702528978152468,1
0.116,-1.67307691167154,-1.40179993473514,-1.8103575616191,-2.99561449536296,-0.878796476946483,-0.0702735827342675,1
0.118,-1.67286475084805,-1.40178873528053,-1.81020173978662,-2.99576826614151,-0.878584919240053,-0.0702943463609819,1
0.12,-1.67265209206903,-1.40177663550627,-1.81003898171846,-2.99592983431507,-0.878372865206298,-0.0703151660328065,1
0.122,-1.67243917439534,-1.40176360999957,-1.80986917533221,-2.99609935226988,-0.878160553227539,-0.0703360183901126,1
0.124,-1.67222624338985,-1.40174963414179,-1.80969221645508,-2.99627696413164,-0.877948228168666,-0.0703568794032793,1
0.126,-1.6720135507996,-1.40173468417799,-1.80950800922067,-2.99646280528059,-0.877736141060136,-0.0703777244026102,1
0.128,-1.67180135421172,-1.40171873728471,-1.80931646644294,-2.9966570018894,-0.877524548754852,-0.0703985281109831,1
0.13,-1.67158991668485,-1.40170177163564,-1.8091175099653,-2.9968596704863,-0.877313713560621,-0.0704192646790786,1
0.132,-1.67137950635807,-1.40168376646478,-1.80891107098317,-2.99707091754566,-0.877103902850134,-0.0704399077230151,1
0.134,-1.67117039603925,-1.40166470212688,-1.80869709033809,-2.99729083910815,-0.876895388650522,-0.070460430364196,1
0.136,-1.67096286277527,-1.40164456015476,-1.80847551878228,-2.9975195204323,-0.876688447214761,-0.0704808052711634,1
0.138,-1.67075718740634,-1.40162332331328,-1.8082463172123,-2.99775703567895,-0.876483358577258,-0.0705010047032334,1
0.14,-1.67055365410689,-1.40160097564979,-1.80800945687089,-2.99800344763001,-0.876280406096102,-0.0705210005556812,1
0.142,-1.67035254991573,-1.40157750254074,-1.8077649195165,-2.99825880744244,-0.876079875984494,-0.0705407644062336,1
0.144,-1.67015416425777,-1.40155289073431,-1.80751269755991,-2.99852315443824,-0.875882056833919,-0.070560267562621,1
0.146,-1.66995878846014,-1.401527128389,-1.80725279416794,-2.99879651593089,-0.875687239131634,-0.0705794811109412,1
0.148,-1.66976671526512,-1.4015002051079,-1.80698522333426,-2.99907890708833,-0.875495714775015,-0.0705983759645807,1
0.15,-1.66957823834239,-1.40147211196876,-1.80671000991781,-2.99937033083252,-0.87530777658528,-0.0706169229134508,1
0.152,-1.66939365180315,-1.40144284154973,-1.80642718964914,-2.99967077777494,-0.875123717822988,-0.070635092673293,1
0.154,-1.66921324971828,-1.40141238795064,-1.80613680910586,-2.99998022618762,-0.874943831707668,-0.0706528559348225,1
0.156,-1.66903732564292,-1.40138074681012,-1.80583892565778,-3.00029864200875,-0.874768410943768,-0.0706701834124828,1
0.158,-1.66886617214936,-1.40134791531836,-1.8055336073833,-3.00062597888163,-0.87459774725501,-0.0706870458926006,1
0.16,-1.66870008037037,-1.40131389222576,-1.80522093295809,-3.00096217822593,-0.874432130929045,-0.0707034142807425,1
0.162,-1.66853933955458,-1.40127867784742,-1.80490099151778,-3.00130716933953,-0.874271850374182,-0.0707192596480882,1
0.164,-1.66838423663549,-1.40124227406384,-1.80457388249608,-3.00166086952951,-0.874117191689744,-0.0707345532766525,1
0.166,-1.66823505581564,-1.40120468431768,-1.80423971544011,-3.0020231842705,-0.87396843825147,-0.0707492667032047,1
0.168,-1.66809207816694,-1.40116591360702,-1.80389860980463,-3.00239400738848,-0.873825870313123,-0.0707633717617527,1
0.17,-1.66795558124838,-1.40112596847519,-1.8035506947271,-3.00277322126826,-0.873689764625377,-0.0707768406244723,1
0.172,-1.66782583874188,-1.40108485699727,-1.80319610878519,-3.00316069708262,-0.873560394072766,-0.0707896458409858,1
0.174,-1.66770312010684,-1.40104258876373,-1.80283499973881,-3.00355629504105,-0.87343802732939,-0.0708017603759051,1
0.176,-1.66758769025405,-1.40099917486112,-1.80246752425826,-3.00395986465624,-0.87332292853382,-0.0708131576445762,1
0.178,-1.66747980923915,-1.40095462785026,-1.80209384764046,-3.00437124502631,-0.873215356983546,-0.0708238115469757,1
0.18,-1.66737973197579,-1.40090896174202,-1.80171414351497,-3.00479026513076,-0.873115566849098,-0.0708336964997241,1
0.182,-1.66728770796863,-1.40086219197095,-1.80132859354139,-3.00521674413834,-0.873023806907865,-0.070842787466199,1
0.184,-1.66720398106582,-1.40081433536701,-1.80093738709993,-3.00565049172499,-0.87294032029748,-0.0708510599847402,1
0.186,-1.66712878923106,-1.40076541012554,-1.80054072097656,-3.00609130840008,-0.872865344288528,-0.0708584901949544,1
0.188,-1.66706236433445,-1.40071543577569,-1.80013879904426,-3.00653898583926,-0.872799110076215,-0.0708650548621357,1
0.19,-1.66700493196207,-1.40066443314759,-1.79973183194177,-3.00699330722244,-0.872741842590555,-0.0708707313998317,1
0.192,-1.66695671124357,-1.40061242433836,-1.79932003675102,-3.00745404757528,-0.872693760324537,-0.0708754978905874,1
0.194,-1.6669179146971,-1.4005594326771,-1.79890363667454,-3.00792097411292,-0.872655075179654,-0.0708793331049154,1
0.196,-1.66688874809106,-1.40050548268923,-1.79848286071381,-3.00839384658463,-0.872625992328142,-0.0708822165185393,1
0.198,-1.66686941032191,-1.40045060006008,-1.79805794334963,-3.00887241761821,-0.872606710091218,-0.070884128327967,1
0.2,-1.66686009330721,-1.40039481159807,-1.79762912422533,-3.00935643306311,-0.872597419832547,-0.0708850494644555,1
0.202,-1.66686098189319,-1.40033814519753,-1.79719664783365,-3.00984563233125,-0.872598305866184,-0.0708849616064277,1
0.204,-1.66687225377608,-1.40028062980127,-1.79676076320794,-3.01033974873472,-0.872609545378188,-0.0708838471904103,1
0.206,-1.6668940794363,-1.40022229536314,-1.79632172361833,-3.01083850981965,-0.872631308361105,-0.0708816894205586,1
0.208,-1.66692662208475,-1.40016317281051,-1.79587978627339,-3.01134163769546,-0.872663757560512,-0.0708784722768376,1
0.21,-1.66697003762046,-1.40010329400683,-1.79543521202767,-3.01184884935899,-0.872707048432845,-0.0708741805219279,1
0.212,-1.6670244745987,-1.40004269171449,-1.79498826509562,-3.01235985701306,-0.872761329113689,-0.0708687997069261,1
0.214,-1.6670900742089,-1.39998139955775,-1.79453921277198,-3.01287436837893,-0.872826740395804,-0.0708623161759055,1
0.216,-1.66716697026147,-1.39991945198619,-1.79408832515914,-3.01339208700242,-0.872903415716096,-0.0708547170694061,1
0.218,-1.66725528918301,-1.39985688423831,-1.79363587490139,-3.01391271255339,-0.872991481150842,-0.0708459903269169,1
0.22,-1.66735515001898,-1.39979373230577,-1.79318213692639,-3.01443594111831,-0.873091055418455,-0.070836124688414,1
0.222,-1.66746666444335,-1.39973003289789,-1.79272738819379,-3.01496146548589,-0.873202249889126,-0.0708251096950157,1
0.224,-1.66758993677451,-1.39966582340677,-1.79227190745111,-3.01548897542553,-0.873325168600719,-0.0708129356888117,1
0.226,-1.6677250639968,-1.3996011418729,-1.79181597499691,-3.0160181579587,-0.8734599082803,-0.0707995938119237,1
0.228,-1.66787213578717,-1.39953602695123,-1.79135987245105,-3.01654869762303,-0.873606558370747,-0.0707850760048489,1
0.23,-1.66803123454643,-1.3994705178779,-1.79090388253214,-3.01708027672934,-0.873765201061908,-0.0707693750041378,1
0.232,-1.66820243543451,-1.39940465443743,-1.79044828884202,-3.01761257561153,-0.873935911325796,-0.0707524843394526,1
0.234,-1.66838580640934,-1.3993384769306,-1.78999337565713,-3.01814527286952,-0.874118756955368,-0.0707343983300532,1
0.236,-1.66858140826893,-1.39927202614273,-1.78953942772663,-3.01867804560516,-0.874313798606459,-0.0707151120807498,1
0.238,-1.66878929469612,-1.3992053433127,-1.78908673007719,-3.01921056965158,-0.874521089842456,-0.0706946214773643,1
0.24,-1.66900951230585,-1.39913847010241,-1.78863556782416,-3.01974251979567,-0.874740677181371,-0.0706729231817345,1
0.242,-1.66924210069442,-1.39907144856686,-1.78818622598906,-3.02027356999432,-0.874972600144955,-0.0706500146262982,1
0.244,-1.66948709249048,-1.39900432112476,-1.78773898932314,-3.02080339358425,-0.875216891309554,-0.0706258940082862,1
0.246,-1.66974451340761,-1.39893713052965,-1.78729414213689,-3.02133166348573,-0.875473576358444,-0.0706005602835553,1
0.248,-1.67001438229796,-1.39886991984165,-1.78685196813512,-3.02185805240042,-0.875742674135372,-0.0705740131600872,1
0.25,-1.67029671120709,-1.39880273239953,-1.78641275025773,-3.02238223300349,-0.876024196699093,-0.0705462530911799,1
0.252,-1.67059150542942,-1.39873561179352,-1.78597677052566,-3.02290387813013,-0.876318149378701,-0.0705172812683522,1
0.254,-1.67089876356441,-1.39866860183838,-1.78554430989203,-3.02342266095678,-0.876624530829569,-0.0704870996139856,1
0.256,-1.67121847757322,-1.39860174654711,-1.78511564809815,-3.02393825517721,-0.876943333089752,-0.0704557107737191,1
0.258,-1.67155063283561,-1.39853509010498,-1.78469106353434,-3.02445033517358,-0.877274541636715,-0.0704231181086185,1
0.26,-1.67189520820713,-1.39846867684413,-1.78427083310524,-3.02495857618282,-0.877618135444264,-0.0703893256871331,1
0.262,-1.67225217607641,-1.39840255121847,-1.78385523209955,-3.02546265445838,-0.877974087039578,-0.0703543382768571,1
0.264,-1.67262150242243,-1.39833675777907,-1.78344453406385,-3.02596224742754,-0.878342362560279,-0.0703181613361065,1
0.266,-1.67300314687184,-1.3982713411499,-1.78303901068062,-3.02645703384459,-0.878722921811444,-0.0702808010053273,1
0.268,-1.67339706275607,-1.39820634600397,-1.78263893164994,-3.02694669393985,-0.879115718322523,-0.0702422640983416,1
0.27,-1.67380319716842,-1.39814181703985,-1.78224456457499,-3.02743090956491,-0.879520699404117,-0.0702025580934467,1
0.272,-1.67422149102088,-1.39807779895849,-1.78185617485108,-3.02790936433403,-0.879937806204586,-0.0701616911243714,1
0.274,-1.67465187910087,-1.39801433644039,-1.78147402555806,-3.02838174376202,-0.880366973766464,-0.0701196719711024,1
0.276,-1.67509429012767,-1.39795147412319,-1.78109837735599,-3.02884773539868,-0.880808131082684,-0.0700765100505852,1
0.278,-1.67554864680877,-1.39788925657942,-1.78072948838395,-3.02930702895993,-0.881261201152589,-0.0700322154073083,1
0.28,-1.67601486589594,-1.39782772829468,-1.78036761416181,-3.02975931645575,-0.881726101037765,-0.0699867987037758,1
0.282,-1.67649285824115,-1.39776693364604,-1.78001300749495,-3.03020429231515,-0.882202741917691,-0.0699402712108752,1
0.284,-1.67698252885239,-1.39770691688078,-1.77966591838165,-3.03064165350809,-0.882691029145231,-0.0698926447981457,1
0.286,-1.67748377694929,-1.39764772209538,-1.77932659392322,-3.03107109966471,-0.883190862302002,-0.069843931923951,1
0.288,-1.67799649601867,-1.39758939321474,-1.77899527823658,-3.03149233319179,-0.88370213525364,-0.0697941456255618,1
0.29,-1.67852057387006,-1.39753197397176,-1.77867221236941,-3.03190505938655,-0.88422473620501,-0.0697432995091531,1
0.292,-1.67905589269119,-1.39747550788709,-1.7783576342176,-3.03230898654802,-0.884758547755394,-0.0696914077397182,1
0.294,-1.67960232895888,-1.39742004269443,-1.77805176988345,-3.0327038439044,-0.885303446449096,-0.0696384726534753,1
0.296,-1.68015975419424,-1.39736560881124,-1.77775487502462,-3.03308929549962,-0.88585930527242,-0.0695845446397528,1
0.298,-1.68072803368916,-1.39731226018815,-1.77746715606573,-3.03346510411989,-0.886425989069727,-0.0695296083315078,1
0.3,-1.68130702777478,-1.39726003700467,-1.77718884193439,-3.03383098193602,-0.887003358831629,-0.0694736864189921,1
0.302,-1.68189659138792,-1.39720898070886,-1.77692015498686,-3.03418665097048,-0.88759127004122,-0.0694167977024141,1
0.304,-1.68249657415545,-1.39715913313722,-1.77666131259706,-3.03453183973929,-0.888189572828033,-0.0693589594837362,1
0.306,-1.68310682047431,-1.39711053577931,-1.77641252846894,-3.03486628047517,-0.888798112105806,-0.0693001895511365,1
0.308,-1.68372716956866,-1.39706322975955,-1.77617401257022,-3.03518970922122,-0.889416727629303,-0.0692405061683877,1
0.31,-1.68435745554744,-1.39701725581914,-1.77594597106787,-3.03550186592269,-0.890045254051568,-0.069179928064185,1
0.312,-1.68499750746247,-1.39697265429827,-1.77572860626528,-3.03580249451672,-0.890683520981695,-0.0691184744214219,1
0.314,-1.68564714936706,-1.39692946511858,-1.77552211654119,-3.03609134302028,-0.891331353043167,-0.0690561648664198,1
0.316,-1.68630620037532,-1.3968877277658,-1.77532669629017,-3.03636816361623,-0.891988569932792,-0.0689930194581136,1
0.318,-1.68697447472204,-1.39684748127275,-1.77514253586481,-3.03663271273755,-0.892654986480337,-0.0689290586771953,1
0.32,-1.68765178182342,-1.39680876420246,-1.77496982151937,-3.0368847511497,-0.893330412708883,-0.0688643034152194,1
0.322,-1.68833792633851,-1.39677161463163,-1.77480873535508,-3.03712404403132,-0.894014653895951,-0.068798774963674,1
0.324,-1.68903270823147,-1.39673607013435,-1.77465945526689,-3.03735036105303,-0.894707510635491,-0.0687324950030184,1
0.326,-1.6897359228348,-1.396702167766,-1.77452215489174,-3.03756347645454,-0.895408778900726,-0.0686654855916934,1
0.328,-1.69044736091341,-1.39666994404753,-1.77439700355831,-3.03776316912004,-0.896118250107964,-0.0685977691551035,1
0.33,-1.69116680872978,-1.39663943494991,-1.77428416623817,-3.03794922265176,-0.896835711181377,-0.0685293684745792,1
0.332,-1.69189404811003,-1.39661067587893,-1.77418380349844,-3.03812142544191,-0.897560944618815,-0.0684603066763184,1
0.334,-1.69262885651122,-1.39658370166024,-1.7740960714558,-3.03827957074285,-0.898293728558708,-0.0683906072203121,1
0.336,-1.69337100708963,-1.3965585465247,-1.77402112173191,-3.03842345673549,-0.89903383684808,-0.0683202938892584,1
0.338,-1.69412026877027,-1.39653524409402,-1.77395910141025,-3.03855288659612,-0.899781039111724,-0.0682493907774666,1
